contact,latitude,longitude,area,rent,competitors,exposure,population
ilona97@vass.biz,47.52551486608682,19.03282313093011,614,296000,4,0.43628975395256353,1092
kovacsjazmin@gmail.com,47.524492660992046,19.016471051675733,390,353000,6,0.42741980457224876,520
juhaszistvan@meszaros.org,47.538948585952824,19.023606287577163,417,344000,0,0.4002393348404425,708
hfeher@varga.hu,47.52581093607993,19.035229882006515,658,330000,1,0.49141125386904105,1005
tamas22@hotmail.com,47.563559973581214,19.032613443753444,797,160000,3,0.42209413230385684,1041
dnemeth@gmail.com,47.54776638717156,19.02642819281134,467,249000,0,0.3916226877017411,631
mariahorvath@yahoo.com,47.56424196533442,19.027651866594166,622,286000,6,0.49410926558139096,659
akocsis@voros.biz,47.560355513234875,19.02573377390246,442,186000,0,0.5920264723576188,621
csilla83@balazs.hu,47.53878590539583,19.026242995416695,832,296000,5,0.5428421029360765,1008
gyorgyhorvath@hotmail.com,47.54237735563365,19.038063251419622,633,230000,1,0.416823898912543,581
gszabi@yahoo.com,47.55129783811577,19.030314769797975,777,331000,0,0.358769433180785,688
laszli39@takacs.com,47.56153576295607,19.031297779607915,548,214000,4,0.5596419949686393,580
bencebalogh@sipos.com,47.56523245695361,19.02070756363672,468,288000,0,0.3795968856875077,906
istvan94@major.org,47.55838317511076,19.019523995781274,843,396000,2,0.45265101874294483,527
kelemendira@yahoo.com,47.52834209097124,19.026595517841926,362,160000,5,0.42710121024518505,182
pmeszaros@yahoo.com,47.553857186431145,19.03539405837941,610,351000,4,0.5808083323787766,591
horvathbela@lakatos.com,47.541880988213315,19.034519495657616,608,191000,1,0.5555169334859937,1094
anna77@kiraly.info,47.56194253616675,19.025861732048934,844,210000,6,0.5535433348676426,633
ervin11@kovacs.hu,47.518328520022614,19.020689780602908,719,279000,6,0.49814344006508837,402
szucsagnes@hotmail.com,47.540339380222434,19.032701896931606,757,396000,2,0.5547800901334812,705
jenopapp@hotmail.com,47.556253806240896,19.02344253969566,550,385000,5,0.43940769471465035,132
wlakatos@hotmail.com,47.547831543974084,19.02792120797795,707,375000,3,0.5155530425337058,638
farkaspetra@szabi.com,47.55991856782708,19.029575732686286,732,163000,1,0.621975216751002,582
akos65@horvath.net,47.54470592810858,19.020659805013626,714,373000,3,0.6022851728915821,226
feherjanos@gmail.com,47.5511887031857,19.037110641725818,476,169000,1,0.6067040817433045,560
cbognar@faragi.info,47.532405099444624,19.034117858073067,536,346000,2,0.5009876143223073,583
zsanett89@nagy.biz,47.52297817413976,19.033663872812518,751,256000,1,0.45358906541912136,1033
lvoros@hotmail.com,47.55162117245935,19.0235683887903,535,396000,1,0.6450430458880574,404
vargajanos@kiraly.org,47.5261127347023,19.0255145619799,577,183000,1,0.4701623228699098,873
ttith@kis.com.hu,47.52265518882648,19.030926952115006,816,264000,5,0.4889026304861278,85
ballapeter@yahoo.com,47.551372503403776,19.03588707290603,360,334000,2,0.6366352928928187,466
klarafarkas@gmail.com,47.53819851945167,19.030206154775062,525,151000,1,0.42702203822220264,535
balazszoltan@hegedus.com.hu,47.54056908844062,19.02339830108683,770,178000,5,0.39369532422366943,1066
ferencracz@kis.org,47.54380988478746,19.033991567508867,617,161000,3,0.6398584662155905,751
bognartibor@hotmail.com,47.5235609373598,19.036213840211964,489,177000,6,0.36768162305893604,499
maria92@fekete.com.hu,47.51510963281098,19.02854862388783,707,192000,3,0.41951719603626336,879
vargamaria@varga.org,47.54582075083198,19.03045422867306,616,158000,4,0.3924980763003906,80
nikolett39@gmail.com,47.52875409295988,19.02943362915363,704,184000,4,0.42478211892397844,977
molnarlaszli@hotmail.com,47.561518928834566,19.024609809660664,723,372000,3,0.4372442182594137,492
lengyelerzsebet@gmail.com,47.531133683205816,19.034994269754208,426,191000,6,0.4027732253525195,393
akoskovacs@bodnar.info,47.5580279204821,19.0180870626573,601,376000,1,0.5702260332766474,152
eszterbalog@gmail.com,47.53899726006225,19.02958153092735,692,194000,2,0.5324855347317361,336
erzsebetsimon@hotmail.com,47.53560891502137,19.035562563188062,700,206000,4,0.5713141349728906,199
ifeher@gmail.com,47.56484493361417,19.03759035480583,815,273000,1,0.5960684174539513,281
agnespapp@pasztor.hu,47.55177669408723,19.028973492473323,556,387000,5,0.4313002137596543,924
kovacsanna@kerekes.biz,47.53301391317501,19.017036512624937,771,272000,5,0.37825722199218453,246
istvan09@orsis.biz,47.53336321250016,19.03186482126468,724,332000,6,0.4479405075371097,134
fuloptamas@hotmail.com,47.51941796484075,19.01979149732272,612,293000,6,0.4371682629026384,169
editszabi@gmail.com,47.55095874889396,19.027566440025357,429,264000,4,0.36928504280343794,884
maria01@yahoo.com,47.54568799642209,19.02872894171847,437,334000,0,0.5167057689274757,381
marta94@hegedus.net,47.52084036118984,19.03803676867878,775,281000,3,0.5106491767633514,505
gabor96@gmail.com,47.55523114203578,19.035893855442872,772,272000,4,0.48162237097132155,665
fodoreszter@hotmail.com,47.53572621874578,19.023821244605617,667,323000,2,0.420822258304206,675
ilona66@horvath.com,47.51608598986129,19.0376159764925,655,293000,5,0.4588583437288113,539
